"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"PEI_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Pei et al, Cancer Cell 2009","MetaGxPancreas/summarizedExperiments/v1/PEI.rda","3.8","Affymetrix Human Genome U133 Plus 2.0 Array","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse16515","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","PEI.rda"
"TCGA_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, TCGA Research Network, Cancer Cell 2017","MetaGxPancreas/summarizedExperiments/v1/TCGA.rda","3.8","IlluminaHiSeq_RNASeqV2","RData","https://portal.gdc.cancer.gov/projects/TCGA-PAAD","July 09 2018","Homo sapiens",9606,FALSE,"GDC","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","TCGA.rda"
"UNC_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Moffitt et al, Nat Genet 2015","MetaGxPancreas/summarizedExperiments/v1/UNC.rda","3.8","Agilent-014850 Whole Human Genome Microarray 4x44K G4112F Agilent-014850 Whole Human Genome Microarray 4x44K G4112F ","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71729","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","UNC.rda"
"WINTER_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Winter et al, PLoS Comput Biol, 2012","MetaGxPancreas/summarizedExperiments/v1/WINTER.rda","3.8","A-AFFY-44-Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2]","RData","http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-2780/","July 09 2018","Homo sapiens",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","WINTER.rda"
"ZHANG_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Zhang et al, PLoS One 2012","MetaGxPancreas/summarizedExperiments/v1/ZHANG.rda","3.8","Affymetrix GeneChip Human Gene 1.0 ST arrays","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28735","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","ZHANG.rda"
"HAMIDI_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  from Hamidi et al, not used in a paper","MetaGxPancreas/summarizedExperiments/v1/HAMIDI.rda","3.8","Agilent-012097 Human 1A Microarray (V2) G4110B","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77858","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","HAMIDI.rda"
"YANG_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Yang et al, 2016, Cancer Research","MetaGxPancreas/summarizedExperiments/v1/YANG.rda","3.8","Affymetrix GeneChip Human Gene 1.0 ST","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62452","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","YANG.rda"
"LUNARDI_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Lunardi S et al, 2014, Oncotarget","MetaGxPancreas/summarizedExperiments/v1/LUNARDI.rda","3.8"," Agilent-014850 Whole Human Genome Microarray 4x44K G4112F","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55643","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","LUNARDI.rda"
"JANKY_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Janky et al, BMC Cancer 2016","MetaGxPancreas/summarizedExperiments/v1/JANKY.rda","3.8","Affymetrix Human Genome U219 Array","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62165","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","JANKY.rda"
"BAUER_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Bauer et al, 2016, Gastroenterology","MetaGxPancreas/summarizedExperiments/v1/BAUER.rda","3.8","Illumina human WG6 Expression BeadChip","RData","https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1791/","July 09 2018","Homo sapiens",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","BAUER.rda"
"HAIDER_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, haider et al, Genome medicine, 2014","MetaGxPancreas/summarizedExperiments/v1/HAIDER.rda","3.8","Affymetrix Human Exon 1.0 ST Array","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56560","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","HAIDER.rda"
